signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,flow_stage,announcement_date,reject_reason,underwrite_intrinsic_value_floor_score,underwrite_intrinsic_value_floor_floor_price,underwrite_intrinsic_value_floor_floor_protection,underwrite_intrinsic_value_floor_anchor,underwrite_survival_boundary_score,underwrite_survival_boundary_coverage,underwrite_survival_boundary_cash_coverage,underwrite_survival_boundary_cfo_support,underwrite_survival_boundary_net_cash_ratio,underwrite_survival_boundary_z_score,underwrite_survival_boundary_interest_coverage,underwrite_survival_boundary_equity_positive,underwrite_survival_boundary_state_owned_support,underwrite_survival_boundary_tripwire_threshold,underwrite_survival_boundary_interest_coverage_bypass,underwrite_survival_boundary_tripwire_reject,underwrite_governance_anti_fraud_score,underwrite_business_or_asset_quality_score,underwrite_normalized_earnings_power_score,underwrite_normalized_earnings_power_implied_price,underwrite_normalized_earnings_power_value_ratio,underwrite_normalized_earnings_power_anchor,underwrite_weight_intrinsic_value_floor,underwrite_weight_survival_boundary,underwrite_weight_governance_anti_fraud,underwrite_weight_business_or_asset_quality,underwrite_weight_normalized_earnings_power,realization_repair_state_score,realization_repair_state_repair_state,realization_regime_cycle_position_score,realization_marginal_buyer_probability_score,realization_marginal_buyer_probability_neutral_default,realization_flow_confirmation_score,realization_flow_confirmation_flow_stage,realization_elasticity_score,realization_elasticity_size_score_raw,realization_elasticity_size_score_used,realization_elasticity_size_relief_applied,realization_catalyst_quality_score,realization_catalyst_quality_neutral_default,realization_weight_repair_state,realization_weight_regime_cycle_position,realization_weight_marginal_buyer_probability,realization_weight_flow_confirmation,realization_weight_elasticity,realization_weight_catalyst_quality,realization_neutral_dropped_components
2023-03-31,2023-04-03,601919,REJECT,7.37,53.75,58.72,1,tushare_pit_v1,72.9,37.45,reject,compounder,unknown,latent,2023-03-31,,45.0,7.371113293946031,0.8465385715668926,conservative_book,100.0,11.318457987004914,11.318457987004914,9.399762143202892,0.4221213576026674,8.734590103329149,35.71334759069365,True,False,0.8,True,False,100.0,14.0,100.0,43.00224676572326,4.938610912563315,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,49.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2023-04-28,2023-05-04,601919,REJECT,7.37,53.75,58.72,1,tushare_pit_v1,72.9,37.45,reject,compounder,unknown,latent,2023-04-28,,45.0,7.371001111714512,0.8404300934391573,conservative_book,100.0,11.318457987004914,11.318457987004914,9.399762143202892,0.4221213576026674,8.734590103329149,35.71334759069365,True,False,0.8,True,False,100.0,14.0,100.0,43.00159230718896,4.902974737492226,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,49.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2023-05-31,2023-06-01,601919,REJECT,7.6,6.51,48.98,1,tushare_pit_v1,52.3,44.0,reject,compounder,unknown,latent,2023-05-31,,65.0,7.598712013839592,0.9219952078976715,conservative_book,90.0,12.553508507853714,12.553508507853714,0.34522143607296085,0.41105722417428703,7.386748631016606,9.399965673703433,True,False,0.8,True,False,100.0,14.0,0.0,2.7959407701771677,0.3392474918083521,conservative_fallback,0.18,0.22,0.18,0.2,0.22,25.0,none,49.2,50.0,True,39.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2023-06-30,2023-07-03,601919,REJECT,8.67,7.43,44.72,1,tushare_pit_v1,55.9,27.95,reject,compounder,unknown,latent,2023-06-30,,85.0,8.673428138800391,1.0195112037518583,conservative_book,90.0,12.553508507853714,12.553508507853714,0.34522143607296085,0.41105722417428703,7.386748631016606,9.399965673703433,True,False,0.8,True,False,100.0,14.0,0.0,3.191381816590294,0.375128434270255,conservative_fallback,0.18,0.22,0.18,0.2,0.22,25.0,none,21.2,50.0,True,31.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2023-07-31,2023-08-01,601919,REJECT,8.67,7.43,44.25,1,tushare_pit_v1,52.3,32.17,reject,compounder,unknown,latent,2023-07-31,,65.0,8.673428138765656,0.946976809805246,conservative_book,90.0,12.553508507853714,12.553508507853714,0.34522143607296085,0.41105722417428703,7.386748631016606,9.399965673703433,True,False,0.8,True,False,100.0,14.0,0.0,3.191381816577513,0.3484394547555608,conservative_fallback,0.18,0.22,0.18,0.2,0.22,25.0,none,21.2,50.0,True,39.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2023-08-31,2023-09-01,601919,REJECT,8.34,9.27,47.18,1,tushare_pit_v1,60.0,27.95,reject,compounder,unknown,latent,2023-08-31,,65.0,8.340054248541366,0.9403117685469458,conservative_book,95.0,10.836779464204186,10.836779464204186,0.7206041306849966,0.3748615403995522,7.280723533857366,3.7843631588493167,True,False,0.8,True,False,100.0,14.0,30.0,7.4151701933257375,0.8360343459135401,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,31.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2023-09-28,2023-10-09,601919,REJECT,8.34,9.27,47.18,1,tushare_pit_v1,60.0,27.95,reject,compounder,unknown,latent,2023-09-28,,65.0,8.338914223372017,0.9392248420248144,conservative_book,95.0,10.836779464204186,10.836779464204186,0.7206041306849966,0.3748615403995522,7.280723533857366,3.7843631588493167,True,False,0.8,True,False,100.0,14.0,30.0,7.41415659312561,0.8350679558986726,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,31.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2023-10-31,2023-11-01,601919,REJECT,8.53,13.58,52.17,1,tushare_pit_v1,65.5,32.17,reject,compounder,unknown,latent,2023-10-31,,65.0,8.527563122892968,0.9644049944887421,conservative_book,100.0,10.644118769254508,10.644118769254508,1.0974846298316332,0.3756172611674902,7.402430558743522,4.256873350062242,True,False,0.8,True,False,100.0,14.0,50.0,9.881135833127882,1.11748416415795,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,39.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2023-11-30,2023-12-01,601919,REJECT,8.58,13.66,52.17,1,tushare_pit_v1,65.5,32.17,reject,compounder,unknown,latent,2023-11-30,,65.0,8.58140311355541,0.9472253183959523,conservative_book,100.0,10.644118769254508,10.644118769254508,1.0974846298316332,0.3756172611674902,7.402430558743522,4.256873350062242,True,False,0.8,True,False,100.0,14.0,50.0,9.94352179888658,1.097577572955327,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,39.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2023-12-29,2024-01-02,601919,REJECT,9.02,14.35,55.93,1,tushare_pit_v1,65.5,41.57,reject,compounder,unknown,ignition,2023-12-29,,65.0,9.015526322818138,0.9897416949041363,conservative_book,100.0,10.644118769254508,10.644118769254508,1.0974846298316332,0.3756172611674902,7.402430558743522,4.256873350062242,True,False,0.8,True,False,100.0,14.0,50.0,10.446553009235823,1.1468425370905033,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,57.5,ignition,45.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2024-01-31,2024-02-01,601919,REJECT,9.02,14.35,54.28,1,tushare_pit_v1,65.5,37.45,reject,compounder,unknown,latent,2024-01-31,,65.0,9.01552632283132,0.9529372298688935,conservative_book,100.0,10.644118769254508,10.644118769254508,1.0974846298316332,0.3756172611674902,7.402430558743522,4.256873350062242,True,False,0.8,True,False,100.0,14.0,50.0,10.446553009251097,1.10419613119026,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,49.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
2024-02-29,2024-03-01,601919,REJECT,9.02,14.35,54.28,1,tushare_pit_v1,65.5,37.45,reject,compounder,unknown,latent,2024-02-29,,65.0,9.015495432043572,0.9030183760974951,conservative_book,100.0,10.644118769254508,10.644118769254508,1.0974846298316332,0.3756172611674902,7.402430558743522,4.256873350062242,True,False,0.8,True,False,100.0,14.0,50.0,10.44651721519536,1.0463537009858972,conservative_fallback,0.18,0.22,0.18,0.2,0.22,20.0,none,21.2,50.0,True,49.5,latent,47.5,10.0,40.0,True,50.0,True,0.0,0.422222,0.0,0.527778,0.05,0.0,marginal_buyer_probability; catalyst_quality
